day,time_to_change_hours,Team,Service
2023-12-27 00:00:00.000000,351,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,351,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,353,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,353,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,356,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,356,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,356,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,356,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,357,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,357,itcm,claims-backend--afc52189
2024-01-03 00:00:00.000000,511,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,511,itcm,agreement-search--a2a7dafd
2024-01-03 00:00:00.000000,511,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,511,itcm,agreement-search--a2a7dafd
2023-12-27 00:00:00.000000,358,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,358,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,358,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,358,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,358,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,358,itcm,claims-backend--afc52189
2024-01-03 00:00:00.000000,512,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,512,itcm,agreement-search--a2a7dafd
2023-12-27 00:00:00.000000,360,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,360,itcm,claims-backend--afc52189
2024-01-03 00:00:00.000000,513,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,513,itcm,agreement-search--a2a7dafd
2024-01-03 00:00:00.000000,513,itcm,claims-submission-ui--d029fe24
2024-01-04 00:00:00.000000,552,itcm,claims-submission-ui--d029fe24
2024-01-04 00:00:00.000000,552,itcm,claims-submission-ui--309a6198
2024-01-03 00:00:00.000000,513,itcm,claims-submission-ui--309a6198
2024-01-03 00:00:00.000000,513,itcm,claims-submission-ui--d029fe24
2024-01-04 00:00:00.000000,552,itcm,claims-submission-ui--d029fe24
2024-01-04 00:00:00.000000,552,itcm,claims-submission-ui--309a6198
2024-01-03 00:00:00.000000,513,itcm,claims-submission-ui--309a6198
2023-12-27 00:00:00.000000,361,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,361,itcm,claims-backend--afc52189
2024-01-03 00:00:00.000000,515,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,515,itcm,agreement-search--a2a7dafd
2023-12-27 00:00:00.000000,362,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,362,itcm,claims-backend--afc52189
2023-12-12 00:00:00.000000,1,itcm,claims-backend--c3cc11bd
2023-12-12 00:00:00.000000,1,itcm,claims-backend--afc52189
2023-12-12 00:00:00.000000,1,itcm,claims-backend--c3cc11bd
2023-12-12 00:00:00.000000,1,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,362,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,362,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,362,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,362,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,362,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,362,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,363,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,363,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,363,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,363,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,364,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,364,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,364,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,364,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--afc52189
2024-01-03 00:00:00.000000,517,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,517,itcm,agreement-search--a2a7dafd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,365,itcm,claims-backend--c3cc11bd
