day,deployments,Team,Service
2024-05-08 00:00:00.000000,96dab6ee-19ef-48d1-86dd-29d6b7cdb91f,itcm,All Services
2023-11-08 00:00:00.000000,c6b949b6-05d5-4891-87ac-f105fc4f4a7f,cic,All Services
2023-09-15 00:00:00.000000,64d6df34-7e1d-4761-8436-6b1458a81d70,cic,All Services
2024-04-15 00:00:00.000000,685931e2-24e0-4755-8a9f-e7dcf6826ecf,itcm,All Services
2024-05-07 00:00:00.000000,eac15b8c-0cf4-4ef6-8239-bbf1081b6f8c,itcm,All Services
2024-01-10 00:00:00.000000,8d848ee1-fe09-42ca-89ca-373c0ef8ff66,itcm,All Services
2024-01-04 00:00:00.000000,c678e1a1-d824-4a60-912c-f746f6d93cda,itcm,All Services
2023-09-18 00:00:00.000000,bc110995-28ec-4dad-b84d-64103e67018c,cic,All Services
2024-03-11 00:00:00.000000,b3b5059a-5fe0-48e5-a183-ee904d8bb304,itcm,All Services
2024-01-02 00:00:00.000000,cfe0d1b1-9d94-4343-9f20-9c34bf5d95a7,itcm,All Services
2024-03-27 00:00:00.000000,f0442a84-f5d5-4631-b941-7fa3cec7ba4f,itcm,All Services
2023-09-15 00:00:00.000000,16e84acc-f390-41ae-b5d4-725917c67f52,cic,All Services
2023-09-15 00:00:00.000000,57d6a6c7-ddb3-4ff7-9e62-4f63e37c14e5,cic,All Services
2024-05-14 00:00:00.000000,ecc78672-5305-43e7-840a-f7bd2c5fe253,itcm,All Services
2024-02-07 00:00:00.000000,30aeff78-ec6d-485a-8102-4b988974411b,itcm,All Services
2024-01-02 00:00:00.000000,bfc131c5-d414-4f4b-a7ce-3a9be05f24cb,itcm,All Services
2023-09-20 00:00:00.000000,de2747e6-89f5-4e7a-8b29-d2cd5112328d,cic,All Services
2024-01-16 00:00:00.000000,c496cbb7-8d16-401b-aa1c-45d29732c549,itcm,All Services
2023-12-29 00:00:00.000000,43cecfa9-c44c-49fc-b89a-aeef933c2df8,itcm,All Services
2024-05-14 00:00:00.000000,c5f54a08-66fc-4d0b-9af7-adc57e3128fe,itcm,All Services
2023-11-17 00:00:00.000000,a7ad39a7-95df-40f6-8d25-54e8374cc7e5,cic,All Services
2024-01-11 00:00:00.000000,fb9653a0-ec51-4700-b0e7-1983784e02b0,itcm,All Services
