day,time_to_change_hours,Team,Service
2024-01-18 00:00:00.000000,859,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,859,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,859,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,859,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,859,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,859,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,860,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,860,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,860,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,860,cic,tenant-lcm-plus--637a5ec3
2023-12-20 00:00:00.000000,160,itcm,hierarchy-masterdata--3b938b2a
2023-12-20 00:00:00.000000,160,itcm,hierarchy-masterdata--2ef8368b
2024-01-18 00:00:00.000000,860,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,860,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,861,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,861,cic,tenant-lcm-plus--637a5ec3
2024-01-16 00:00:00.000000,829,cic,lcea-biz--0d8153fe
2024-01-18 00:00:00.000000,861,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,862,cic,tenant-lcm-plus--637a5ec3
2023-12-27 00:00:00.000000,351,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,351,itcm,claims-backend--afc52189
2024-01-16 00:00:00.000000,829,cic,lcea-biz--0d8153fe
2023-12-20 00:00:00.000000,169,itcm,role-permission--7a507568
2023-12-20 00:00:00.000000,169,itcm,role-permission--b4ad5c94
2024-01-18 00:00:00.000000,862,cic,tenant-lcm-plus--637a5ec3
2024-01-18 00:00:00.000000,862,cic,tenant-lcm-plus--637a5ec3
2024-01-16 00:00:00.000000,830,cic,lcea-biz--0d8153fe
2023-12-20 00:00:00.000000,169,itcm,role-permission--b4ad5c94
2023-12-20 00:00:00.000000,169,itcm,role-permission--7a507568
2023-12-20 00:00:00.000000,162,itcm,hierarchy-masterdata--3b938b2a
2023-12-20 00:00:00.000000,162,itcm,hierarchy-masterdata--2ef8368b
2023-12-27 00:00:00.000000,353,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,353,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,356,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,356,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,356,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,356,itcm,claims-backend--afc52189
2023-12-20 00:00:00.000000,173,itcm,role-permission--b4ad5c94
2023-12-20 00:00:00.000000,173,itcm,role-permission--7a507568
2023-12-20 00:00:00.000000,173,itcm,role-permission--b4ad5c94
2023-12-20 00:00:00.000000,173,itcm,role-permission--7a507568
2023-12-20 00:00:00.000000,174,itcm,role-permission--b4ad5c94
2023-12-20 00:00:00.000000,174,itcm,role-permission--7a507568
2023-12-20 00:00:00.000000,174,itcm,role-permission--b4ad5c94
2023-12-20 00:00:00.000000,174,itcm,role-permission--7a507568
2023-12-20 00:00:00.000000,174,itcm,role-permission--b4ad5c94
2023-12-20 00:00:00.000000,174,itcm,role-permission--7a507568
2023-12-27 00:00:00.000000,357,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,357,itcm,claims-backend--afc52189
2023-12-13 00:00:00.000000,5,itcm,approval--a52e00b0
2023-12-13 00:00:00.000000,5,itcm,approval--9059b09c
2023-12-13 00:00:00.000000,5,itcm,approval--a52e00b0
2023-12-13 00:00:00.000000,5,itcm,approval--9059b09c
2024-01-03 00:00:00.000000,511,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,511,itcm,agreement-search--a2a7dafd
2024-01-03 00:00:00.000000,511,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,511,itcm,agreement-search--a2a7dafd
2023-12-27 00:00:00.000000,358,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,358,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,358,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,358,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,358,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,358,itcm,claims-backend--afc52189
2024-01-03 00:00:00.000000,512,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,512,itcm,agreement-search--a2a7dafd
2023-12-13 00:00:00.000000,7,itcm,approval--a52e00b0
2023-12-13 00:00:00.000000,7,itcm,approval--9059b09c
2023-12-27 00:00:00.000000,360,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,360,itcm,claims-backend--afc52189
2024-01-03 00:00:00.000000,513,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,513,itcm,agreement-search--a2a7dafd
2024-01-03 00:00:00.000000,513,itcm,claims-submission-ui--d029fe24
2024-01-04 00:00:00.000000,552,itcm,claims-submission-ui--d029fe24
2024-01-04 00:00:00.000000,552,itcm,claims-submission-ui--309a6198
2024-01-03 00:00:00.000000,513,itcm,claims-submission-ui--309a6198
2023-12-13 00:00:00.000000,2,itcm,promotion-masterdata--286cca78
2023-12-13 00:00:00.000000,2,itcm,promotion-masterdata--9a7de2f1
2024-01-03 00:00:00.000000,513,itcm,claims-submission-ui--d029fe24
2024-01-04 00:00:00.000000,552,itcm,claims-submission-ui--d029fe24
2024-01-04 00:00:00.000000,552,itcm,claims-submission-ui--309a6198
2024-01-03 00:00:00.000000,513,itcm,claims-submission-ui--309a6198
2023-12-13 00:00:00.000000,3,itcm,comments--22d94453
2023-12-13 00:00:00.000000,3,itcm,comments--de519a21
2023-12-27 00:00:00.000000,361,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,361,itcm,claims-backend--afc52189
2023-12-13 00:00:00.000000,8,itcm,approval--a52e00b0
2023-12-13 00:00:00.000000,8,itcm,approval--9059b09c
2024-05-08 00:00:00.000000,3550,itcm,dn-line-aggregation-ng--009632b1
2024-05-08 00:00:00.000000,3550,itcm,dn-line-aggregation-ng--1414b52d
2024-01-03 00:00:00.000000,515,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,515,itcm,agreement-search--a2a7dafd
2023-12-27 00:00:00.000000,362,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,362,itcm,claims-backend--afc52189
2024-01-22 00:00:00.000000,982,cic,rgo-promotion-plan--509f47ee
2023-12-12 00:00:00.000000,1,itcm,claims-backend--c3cc11bd
2023-12-12 00:00:00.000000,1,itcm,claims-backend--afc52189
2023-12-12 00:00:00.000000,1,itcm,claims-backend--c3cc11bd
2023-12-12 00:00:00.000000,1,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,362,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,362,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,362,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,362,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,362,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,362,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,363,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,363,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,363,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,363,itcm,claims-backend--afc52189
2024-01-22 00:00:00.000000,983,cic,rgo-promotion-plan--509f47ee
2023-12-27 00:00:00.000000,364,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,364,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,364,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--afc52189
2023-12-27 00:00:00.000000,364,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--afc52189
2024-01-02 00:00:00.000000,507,itcm,document-library--78820e1d
2024-01-02 00:00:00.000000,507,itcm,document-library--27f08bac
2023-12-13 00:00:00.000000,6,itcm,comments--22d94453
2023-12-13 00:00:00.000000,6,itcm,comments--de519a21
2024-01-03 00:00:00.000000,517,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,517,itcm,agreement-search--a2a7dafd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,364,itcm,claims-backend--afc52189
2024-01-22 00:00:00.000000,984,cic,rgo-promotion-plan--509f47ee
2024-01-02 00:00:00.000000,508,itcm,document-library--78820e1d
2024-01-02 00:00:00.000000,508,itcm,document-library--27f08bac
2024-01-02 00:00:00.000000,508,itcm,document-library--78820e1d
2024-01-02 00:00:00.000000,508,itcm,document-library--27f08bac
2023-12-27 00:00:00.000000,365,itcm,claims-backend--c3cc11bd
2023-12-27 00:00:00.000000,365,itcm,claims-backend--afc52189
2023-12-12 00:00:00.000000,2,itcm,claims-backend--c3cc11bd
2023-12-12 00:00:00.000000,4,itcm,claims-backend--afc52189
2023-12-12 00:00:00.000000,2,itcm,claims-backend--c3cc11bd
2023-12-12 00:00:00.000000,4,itcm,claims-backend--afc52189
2023-12-12 00:00:00.000000,2,itcm,invoice-backend--0179dd34
2023-12-12 00:00:00.000000,2,itcm,invoice-backend--021a3242
2024-01-02 00:00:00.000000,509,itcm,document-library--78820e1d
2024-01-02 00:00:00.000000,509,itcm,document-library--27f08bac
2024-01-02 00:00:00.000000,509,itcm,document-library--78820e1d
2024-01-02 00:00:00.000000,509,itcm,document-library--27f08bac
2023-12-13 00:00:00.000000,13,itcm,itcm-common-masterdata--5c2eeb41
2023-12-12 00:00:00.000000,1,itcm,product-masterdata-service--bc4f7d80
2023-12-12 00:00:00.000000,1,itcm,product-masterdata-service--c8c9a167
